#Method,URI Resource Path,Path Parameter,Query Parameter,Encrypted IBS Authorization/Effective UserID,Data Cipher,Secret Cipher,Comments
POST,/IBSCB/v2/dda-sav-transfers,NA,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
POST,/IBSCI/v2/account-account-relationships,NA,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
DELETE,/IBSCI/v2/account-account-relationships/{ApCd1}/{AcNbr1}/{ApCd2}/{AcNbr2}/{E1ToE2RlCd}/{E2ToE1RlCd}/{CIRlEfDt},AcNbr1|AcNbr2,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
PUT,/IBSCI/v2/customer-account-relationships/{ApCd1}/{ApNbr1},ApNbr1,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
POST,/IBSCI/v2/customer-account-relationships,NA,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
DELETE,/IBSCI/v2/customer-account-relationships/{ApCd1}/{ApNbr1}/{AcNbr2}/{E1ToE2RlCd}/{E2ToE1RlCd}/{CIRlEfDt},ApNbr1|AcNbr2,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSCI/v2/external-transfer-instructions/{ApplCde}/{ApplNbr},ApplNbr,FocusApplNbr,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSCI/v2/transfer-relationships/{ApplCde}/{AcctNbr},AcctNbr,RepoPrmySubAcct,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
PUT,/IBSDP/v2/external-ach-transfers/{AcctNbr},AcctNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSDP/v2/external-ach-transfers/{AcctNbr},AcctNbr,TrsfrAcctNbr|PrinTrsfrAcctNbr|HldAcctNbr,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
POST,/IBSFM/v2/deficit-transfers,NA,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
PUT,/IBSFM/v2/deficit-transfers/{FMDPSysReceivingAcctNbr}/{RcvAcctSysCde}/{FMDfctTrsfrSeqNbr},FMDPSysReceivingAcctNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
DELETE,/IBSFM/v2/deficit-transfers/{FMDPSysReceivingAcctNbr}/{RcvAcctSysCde}/{FMDfctTrsfrSeqNbr},FMDPSysReceivingAcctNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSFM/v2/deficit-transfers/{FMDPSysReceivingAcctNbr}/{RcvAcctSysCde}/{FMDfctTrsfrSeqNbr},FMDPSysReceivingAcctNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
POST,/IBSFM/v2/excess-transfers,NA,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
PUT,/IBSFM/v2/excess-transfers/{SndAcctNbr}/{SeqNbr}/{SndAcctSysCde},SndAcctNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
DELETE,/IBSFM/v2/excess-transfers/{SndAcctNbr}/{SeqNbr}/{SndAcctSysCde},SndAcctNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSFM/v2/excess-transfers/{SndAcctNbr}/{SndAcctSysCde},SndAcctNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
PUT,/IBSSZ/v2/racf-password,NA,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSCB/v2/cards/{CBCrdNbr}/cardholders,CBCrdNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSCB/v2/cards/{CrdNbr}/authentication,CrdNbr,PrmyHmPh|PrmySsn,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
POST,/IBSCI/v2/customers/address-edit,NA,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
POST,/IBSCI/v2/customers/organizations,NA,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
PUT,/IBSCI/v2/customers/{CIApplNbr}/organization-demographics,CIApplNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSCI/v2/relationships/{ApCd1}/{ApN1}/{ApCd2}/{AcN2}/{E1E2RlCd}/{E2E1RlCd}/{RlEfDt}/{RlTyp}/{RlDemDatEl}/demog,ApN1|AcN2,CISubAcctNbr|CIRltSubAcctNbr,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Altered URI Path
POST,/IBSCI/v2/relationships/demog,NA,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Altered URI Path
PUT,/IBSCI/v2/relationships/{ApCd1}/{ApN1}/{ApCd2}/{AcN2}/{E1E2RlCd}/{E2E1RlCd}/{RlEfDt}/{RlTyp}/{RlDemDatEl}/demog,ApN1|AcN2,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Altered URI Path
DELETE,/IBSCI/v2/relationships/{ApCd1}/{ApN1}/{ApCd2}/{AcN2}/{E1E2RlCd}/{E2E1RlCd}/{RlEfDt}/{RlTyp}/{RlDemDatEl}/demog,ApN1|AcN2,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Altered URI Path
PUT,/IBSCI/v2/accounts/{AppCde}/{ApplNbr}/name-address,ApplNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
POST,/IBSDP/v2/multiple-accounts/balances,NA,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSDP/v2/accounts/{AcctNbr}/account-transactions,AcctNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSDP/v2/accounts/{DPAcctNbr}/account-transactions/intraday,DPAcctNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSDP/v2/accounts/{DPAcctNbr}/account-transactions/prior-day,DPAcctNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSII/v2/check-images/{AccountNumber}/{FinancialOrganization},AccountNumber,CheckNumber,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSDP/v2/accounts/{AcctNbr}/transactions/intraday,AcctNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSDP/v2/accounts/{AcctNbr}/transactions/non-intraday,AcctNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSCI/v2/accounts/{AppCde}/{ApplNbr}/name-address,ApplNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
PUT,/IBSCI/v2/miscellaneous-accounts/{CIAcctApplCde}/{CIAcctAcctNbr}/name-address,CIAcctAcctNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
POST,/IBSCI/v2/accounts/address-edit,NA,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
DELETE,/IBSCI/v2/accounts/{ApplCde}/{ApplNbr},ApplNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSCI/v2/customers/{ApplCde}/{ApplNbr}/pin/{Pin},ApplNbr|Pin,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
PUT,/IBSCI/v2/customers/{CustNbr}/pin,CustNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
POST,/IBSDP/v2/online-dollar-transactions,NA,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
POST,/IBSDP/v2/multiple-dl-accounts/balances,NA,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSCI/v2/customers/{CustNbr}/aliases,CustNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Altered URI Path
POST,/IBSCI/v2/customers/{CustNbr}/aliases,CustNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
PUT,/IBSCI/v2/customers/{CustNbr}/aliases/{AlSeqNbr},CustNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
DELETE,/IBSCI/v2/customers/{CustNbr}/aliases/{AlSeqNbr},CustNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSCI/v2/customer-customer-relationships/{CustNbr},CustNbr,RltCustNbr,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
POST,/IBSCI/v2/customer-customer-relationships,NA,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
DELETE,/IBSCI/v2/customer-customer-relationships/{CustNbr}/{RltCustNbr}/{EffDte}/{E1toE2Cde}/{E2toE1Cde},CustNbr|RltCustNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSCI/v2/miscellaneous-accounts/{ApplCde}/{AcctNbr},AcctNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
PUT,/IBSCI/v2/miscellaneous-accounts/{ApplCde}/{AcctNbr},AcctNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSDP/v2/accounts/{AcctNbr}/pin/{CurPin},AcctNbr|CurPin,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
PUT,/IBSDP/v2/accounts/{AcctNbr}/pin/{CurPin},AcctNbr|CurPin,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSDP/v2/accounts/{DPAcctNbr}/stop-hold-dates,DPAcctNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
POST,/IBSDP/v2/closing-balance-transactions,NA,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSCI/v2/customers/{CICustNbr}/user-defined-profile,CICustNbr,VRUAcctNbr,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSCI/v2/customers/{CICustNbr}/related-loan-accounts,CICustNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
PUT,/IBSDP/v2/bai-destinations/{DPDestCde},NA,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
